,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mount Gambier,90,AU,1543874400,72,-37.83,140.78,59.0,5.82
1,Bubaque,0,GW,1543876304,96,11.28,-15.83,82.16,4.76
2,Hobart,75,AU,1543874400,54,-42.88,147.33,53.6,5.82
3,Busselton,32,AU,1543876897,100,-33.64,115.35,64.93,14.16
4,Cuamba,80,MZ,1543876898,76,-14.8,36.54,73.25,2.86
5,Kodiak,90,US,1543875300,68,39.95,-94.76,28.94,11.41
6,Khatanga,44,RU,1543876428,46,71.98,102.47,-27.96,2.86
7,Rio Bananal,100,BR,1543876900,100,-19.26,-40.34,71.0,5.55
8,Zaozerne,92,UA,1543876901,99,51.37,23.94,40.4,13.11
9,Upernavik,32,GL,1543876695,100,72.79,-56.15,20.92,9.75
10,Maniitsoq,92,GL,1543876903,100,65.42,-52.9,20.33,11.59
11,Port Blair,0,IN,1543876870,97,11.67,92.75,84.82,13.56
12,Mastic Beach,1,US,1543874160,52,40.77,-72.85,53.06,10.29
13,Nabire,76,ID,1543876540,93,-3.36,135.5,74.78,1.07
14,Ponta Delgada,40,PT,1543874400,67,37.73,-25.67,62.6,19.46
15,Maningrida,36,AU,1543876906,72,-12.05,134.23,88.73,9.01
16,Tura,0,IN,1543876403,85,25.52,90.21,54.71,4.61
17,Bredasdorp,0,ZA,1543874400,82,-34.53,20.04,60.8,3.36
18,Vorukh,12,KG,1543876907,79,39.85,70.57,5.66,1.36
19,Mamallapuram,75,IN,1543874400,100,12.63,80.17,75.2,4.7
20,Den Helder,75,NL,1543875900,76,52.96,4.76,50.0,12.75
21,Ushuaia,40,AR,1543874400,66,-54.81,-68.31,50.0,8.05
22,Port Alfred,88,ZA,1543876694,96,-33.59,26.89,64.84,6.29
23,Hithadhoo,100,MV,1543876853,100,-0.6,73.08,81.35,8.08
24,Georgetown,20,GY,1543874400,74,6.8,-58.16,80.6,9.17
25,Castro,92,CL,1543874400,72,-42.48,-73.76,60.8,6.93
26,Albany,90,US,1543876320,75,42.65,-73.75,44.96,12.75
27,Zhezkazgan,0,KZ,1543876916,64,47.8,67.71,3.05,12.03
28,Hoopstad,0,ZA,1543876916,77,-27.83,25.91,57.82,6.78
29,Yar-Sale,88,RU,1543876360,84,66.83,70.83,5.98,19.37
30,Cabo San Lucas,40,MX,1543873740,60,22.89,-109.91,78.8,9.17
31,Arcata,40,US,1543876500,53,40.87,-124.08,53.96,10.29
32,Rikitea,92,PF,1543876919,99,-23.12,-134.97,78.65,11.88
33,Nhulunbuy,0,AU,1543874400,74,-12.18,136.78,86.0,11.41
34,College,90,US,1543874280,92,64.86,-147.8,30.92,8.79
35,Puerto Ayora,75,EC,1543874400,65,-0.74,-90.35,77.0,13.87
36,Buchanan,40,LR,1543874400,94,5.88,-10.05,78.8,8.3
37,Cape Town,20,ZA,1543874400,72,-33.93,18.42,60.8,3.36
